model,training_hours,gap_type,in_domain_wer,ood_wer,absolute_gap,relative_gap,dataset,code_switch_wer,monolingual_wer
Qwen2-Audio,0,ood_minus_in_domain,1.058952206900371,1.3139655172413793,0.2550133103410084,0.24081663806854006,,,
Qwen2-Audio,10,ood_minus_in_domain,0.5776153292351996,0.723448275862069,0.1458329466268693,0.25247416272688195,,,
Qwen2-Audio,30,ood_minus_in_domain,0.4758265492606745,0.6398275862068965,0.16400103694622198,0.3446655870737815,,,
Qwen2-Audio,0,code_switch_minus_mono,,,-0.03856117348355248,-0.03624681325032674,moulsot_test,1.025288859821234,1.0638500333047864
Qwen2-Audio,10,code_switch_minus_mono,,,0.015852244371684088,0.02754029361911524,moulsot_test,0.591454109439721,0.5756018650680369
Qwen2-Audio,30,code_switch_minus_mono,,,0.043298441982406566,0.09206029001748933,moulsot_test,0.513625463265751,0.4703270212833444
Whisper large-v3,0,ood_minus_in_domain,0.8485351941075483,0.9662068965517241,0.1176717024441758,0.13867627796857346,,,
Whisper large-v3,10,ood_minus_in_domain,0.4013940366211208,0.6112155924089588,0.20982155578783807,0.5227321201732013,,,
Whisper large-v3,30,ood_minus_in_domain,0.3922940753443602,0.5891605402632929,0.19686646491893267,0.5018338978128105,,,
Whisper large-v3,0,code_switch_minus_mono,,,0.279386010305243,0.3436274625246127,moulsot_test,1.092435142794855,0.8130491324896121
Whisper large-v3,10,code_switch_minus_mono,,,0.03938284889463839,0.09936149714720256,moulsot_test,0.43574210298572047,0.3963592540910821
Whisper large-v3,30,code_switch_minus_mono,,,0.023521234642540745,0.06042130922595477,moulsot_test,0.4128083080917352,0.38928707344919444
