model,dataset,training_hours,phase,wer,wer_percent,cer,cer_percent,mean_rtf,train_wall_clock_hours,curve_note
Qwen2-Audio,moulsot_test,0,zero-shot Darija prompt,1.058952206900371,105.89522069003709,0.8838867396829609,88.38867396829609,0.22832276067361507,,best available Qwen zero-shot prompt
Qwen2-Audio,moulsot_test,10,fine-tuned 10h,0.5776153292351996,57.761532923519965,0.23448743990445958,23.44874399044596,0.2597916371886813,2.0942992117007573,fine-tuned checkpoint
Qwen2-Audio,moulsot_test,30,fine-tuned 30h,0.4758265492606745,47.582654926067455,0.1823433943390256,18.234339433902562,0.258878069308026,8.886277908285459,fine-tuned checkpoint
Qwen2-Audio,casablanca_ood,0,zero-shot strict prompt,1.3139655172413793,131.39655172413794,1.17934007981756,117.934007981756,0.2721829464416414,,only Qwen Casablanca zero-shot prompt present
Qwen2-Audio,casablanca_ood,10,fine-tuned 10h,0.723448275862069,72.34482758620689,0.3250071265678449,32.50071265678449,0.2995756449782113,2.0942992117007573,fine-tuned checkpoint
Qwen2-Audio,casablanca_ood,30,fine-tuned 30h,0.6398275862068965,63.98275862068965,0.26610604332953247,26.610604332953248,0.3106065551506606,8.886277908285459,fine-tuned checkpoint
Whisper large-v3,moulsot_test,0,zero-shot greedy,0.8485351941075483,84.85351941075483,0.480468311404628,48.0468311404628,1.0220207281477618,,greedy zero-shot
Whisper large-v3,moulsot_test,10,fine-tuned 10h,0.4013940366211208,40.13940366211208,0.14129647205298554,14.129647205298554,0.18724995145677623,2.2159331958823736,fine-tuned checkpoint
Whisper large-v3,moulsot_test,30,fine-tuned 30h,0.3922940753443602,39.22940753443602,0.14229658431048384,14.229658431048383,0.16640602237036473,3.4112414167986977,fine-tuned checkpoint
Whisper large-v3,casablanca_ood,0,zero-shot greedy,0.9662068965517241,96.62068965517241,0.5514894526795895,55.14894526795895,1.3069118224451122,,greedy zero-shot
Whisper large-v3,casablanca_ood,10,fine-tuned 10h,0.6112155924089588,61.121559240895884,0.2312835651029626,23.12835651029626,0.275238914709396,2.2159331958823736,fine-tuned checkpoint
Whisper large-v3,casablanca_ood,30,fine-tuned 30h,0.5891605402632929,58.91605402632929,0.21783974108190773,21.783974108190773,0.1932182887363899,3.4112414167986977,fine-tuned checkpoint
