model,dataset,comparison,baseline_wer,later_wer,absolute_wer_reduction,relative_wer_reduction,train_wall_clock_hours,wer_points_reduced_per_train_hour
Qwen2-Audio,moulsot_test,0h_to_10h,1.058952206900371,0.5776153292351996,0.4813368776651713,0.45454070025887083,2.0942992117007573,22.983195284416066
Qwen2-Audio,moulsot_test,0h_to_30h,1.058952206900371,0.4758265492606745,0.5831256576396964,0.5506628664069241,8.886277908285459,6.562091166381337
Qwen2-Audio,moulsot_test,10h_to_30h,0.5776153292351996,0.4758265492606745,0.10178877997452512,0.17622243528283799,6.791978696584701,1.498661649597177
Qwen2-Audio,casablanca_ood,0h_to_10h,1.3139655172413793,0.723448275862069,0.5905172413793104,0.44941608712767356,2.0942992117007573,28.19641234070646
Qwen2-Audio,casablanca_ood,0h_to_30h,1.3139655172413793,0.6398275862068965,0.6741379310344828,0.5130560293924682,8.886277908285459,7.586280082529545
Qwen2-Audio,casablanca_ood,10h_to_30h,0.723448275862069,0.6398275862068965,0.08362068965517244,0.11558627264061015,6.791978696584701,1.2311683147242571
Whisper large-v3,moulsot_test,0h_to_10h,0.8485351941075483,0.4013940366211208,0.4471411574864275,0.5269565253056012,2.2159331958823736,20.178458372179318
Whisper large-v3,moulsot_test,0h_to_30h,0.8485351941075483,0.3922940753443602,0.45624111876318807,0.537680843330302,3.4112414167986977,13.374635888167381
Whisper large-v3,moulsot_test,10h_to_30h,0.4013940366211208,0.3922940753443602,0.009099961276760549,0.022670893054024314,1.1953082209163242,0.7613066753430769
Whisper large-v3,casablanca_ood,0h_to_10h,0.9662068965517241,0.6112155924089588,0.35499130414276525,0.3674071313397642,2.2159331958823736,16.019946124838363
Whisper large-v3,casablanca_ood,0h_to_30h,0.9662068965517241,0.5891605402632929,0.3770463562884312,0.3902335593277839,3.4112414167986977,11.053054012291891
Whisper large-v3,casablanca_ood,10h_to_30h,0.6112155924089588,0.5891605402632929,0.022055052145665943,0.03608391608391611,1.1953082209163242,1.8451351508950993
